ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-02-12T20:04:42Z,dmurat125,ios,2495,TR,176.54.54.219,unknown,Major Distribution,Drake,Her Loss,spotify:track:46s57QULU02Voy0Kup6UEb,,,,clickrow,logout,false,false,false,1676232280,false
2023-02-12T20:05:44Z,dmurat125,ios,5479,TR,176.54.54.219,unknown,Major Distribution,Drake,Her Loss,spotify:track:46s57QULU02Voy0Kup6UEb,,,,appload,endplay,false,true,false,1676232335,false
2023-02-12T20:09:53Z,dmurat125,ios,249596,TR,176.54.54.219,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,trackdone,false,false,false,1676232345,false
2023-02-12T20:10:07Z,dmurat125,ios,12869,TR,176.54.54.219,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,endplay,false,true,false,1676232594,false
2023-02-12T20:10:08Z,dmurat125,ios,928,TR,176.54.54.219,unknown,Farklı Yol,Farazi,Ölmek İçin Doğanlar,spotify:track:09l6KXWKqFJxOq9mKC4Sl4,,,,clickrow,endplay,false,true,false,1676232608,false
2023-02-12T20:14:52Z,dmurat125,ios,284664,TR,176.54.54.219,unknown,KHRBR,Ati242,KHRBR,spotify:track:5GKPjeEbJOiV28JLtCe5hN,,,,clickrow,trackdone,false,false,false,1676232609,false
2023-02-12T20:14:58Z,dmurat125,ios,4573,TR,176.54.54.219,unknown,Chicago Freestyle (feat. Giveon),Drake,Dark Lane Demo Tapes,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,,,,trackdone,fwdbtn,false,true,false,1676232893,false
2023-02-12T20:15:00Z,dmurat125,ios,1648,TR,176.40.247.233,unknown,MAFIA,Travis Scott,ESCAPE PLAN / MAFIA,spotify:track:08F16baYbciTva9P4BvpiI,,,,fwdbtn,unexpected-exit-while-paused,false,false,false,1676232899,false
2023-02-13T10:38:01Z,dmurat125,ios,249596,TR,176.40.247.233,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,trackdone,false,false,false,1676284432,false
2023-02-13T10:40:59Z,dmurat125,ios,178532,TR,176.40.247.233,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,trackdone,false,false,false,1676284681,false
